"SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "jnbjdq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "itavcq" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "CARVP"
"3146165" "Sfem" "Fcou" "Pouv" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A0" "R2" "Q1" "O1" "M2" "T2" "D1" "B1" "I2" 204 29 0.693147180559945 3.13549421592915 12.3745234466383 0 0 0 0 1 4295 3.13549421592915 2.70805020110221 3.46573590279973 0 0 1 10.5298536994057 3 2 12.3737288565712 1 5.24174701505964 13 0 12.5575636761782 10.7382644952267 0 "Coui"
"3241063" "Shom" "Fcou" "Pint" "K1" "V1" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "J2" "A1" "R2" "Q2" "O2" "M2" "T2" "D1" "B2" "I2" 264 48 1.09861228866811 4.77068462446567 11.7798179232145 1.79175946922805 11.7506501923619 0 11.7506501923619 2 15027 4.77068462446567 2.70805020110221 3.87120101090789 12.53681779939 0 1 11.3128146127666 2 2 11.7798179232145 0 0 21 0 12.7302033626752 11.318903727228 4.06044301054642 "Coui"
"3346721" "Shom" "Fseu" "Pemp" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R1" "Q2" "O1" "M2" "T2" "D2" "B1" "I2" 133 43 0.693147180559945 3.3322045101752 11.5129354649202 0 0 0 0 1 17216 3.3322045101752 2.77258872223978 2.94443897916644 0 0 0 0 1 0 0 1 11.5129354649202 0 0 12.5218974695531 0 0 "Coui"
"5002214" "Shom" "Fseu" "Pouv" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "J1" "A0" "R0" "Q2" "O2" "M2" "T1" "D2" "B2" "I1" 33 28 1.6094379124341 3.98898404656427 10.3062155849344 2.63905732961526 11.4841452595435 0 11.4841452595435 2 15723 3.98898404656427 2.77258872223978 3.95124371858143 0 0 0 0 2 2 10.3062155849344 0 0 20 0 10.5980087886492 0 1.6094379124341 "Coui"
"5032531" "Shom" "Fcou" "Pouv" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F0" "L0" "H0" "J1" "A0" "R0" "Q1" "O1" "M1" "T1" "D1" "B1" "I0" 22 28 0.693147180559945 2.07944154167984 6.02102334934953 0 8.35936910622267 8.35936910622267 0 1 5134 2.07944154167984 2.70805020110221 3.09104245335832 0 0 0 0 1 0 0 1 6.02102334934953 11 0 6.02102334934953 0 0.693147180559945 "Coui"
"5079351" "Shom" "Fcou" "Pemp" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J1" "A1" "R0" "Q2" "O0" "M1" "T0" "D2" "B0" "I1" 4 44 0 2.39789527279837 0 0 0 0 0 1 10709 2.39789527279837 2.94443897916644 1.09861228866811 0 0 0 0 1 0 0 1 0 0 0 10.2828824329111 0 2.56494935746154 "Coui"
"5084793" "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X0" "Y2" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A0" "R0" "Q0" "O1" "M0" "T1" "D2" "B0" "I0" 2 34 0.693147180559945 0.693147180559945 5.30330490805908 0 0 0 0 1 1278 0.693147180559945 3.40119738166216 1.6094379124341 0 0 0 0 2 0 0 2 5.30330490805908 0 0 7.92153563213355 0 0 "Coui"
"5085206" "Shom" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R0" "Q1" "O2" "M0" "T0" "D1" "B0" "I0" 1 43 1.38629436111989 1.79175946922805 0 0 0 0 0 1 2649 1.79175946922805 2.70805020110221 2.30258509299405 0 0 0 0 0 0 0 0 0 2 0 8.70748291785937 0 0 "Coui"
"154396" "Shom" "Fcou" "Pint" "K1" "V0" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "J0" "A0" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 196 35 1.6094379124341 5.37063802812766 12.323086496551 2.63905732961526 14.3880087248735 0 12.211269120437 3 34221 5.36597601502185 2.63905732961526 4.78749174278205 0 14.2676359445973 0 0 4 2 11.5853484468963 2 11.6726349516768 43 0 12.5112016315857 5.30330490805908 0 "Coui"
"156485" "Shom" "Fcou" "Pint" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "J1" "A1" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 309 40 1.6094379124341 5.05624580534831 13.493871759901 2.70805020110221 14.3353068249254 11.0578971439674 14.296851550738 2 38831 5.06259503302697 2.63905732961526 4.07753744390572 0 0 0 0 2 1 12.9102809259495 1 12.6776749961396 17 0 13.5300460249534 9.68725754749099 2.07944154167984 "Coui"
"158823" "Shom" "Fseu" "Psan" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J2" "A1" "R1" "Q1" "O2" "M1" "T2" "D1" "B1" "I2" 156 47 1.09861228866811 2.484906649788 10.4544085068661 0 0 0 0 1 3703 2.19722457733622 2.70805020110221 3.2188758248682 0 0 1 11.4565561514734 4 1 7.73848812249465 3 10.3860062900866 15 0 11.8424737865186 11.4565561514734 3.55534806148941 "Coui"
"162381" "Shom" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J0" "A2" "R1" "Q2" "O1" "M2" "T1" "D0" "B2" "I1" 131 56 0.693147180559945 3.46573590279973 10.2961713262796 2.19722457733622 12.2372030277267 0 11.2341502748781 1 65548 3.46573590279973 2.63905732961526 4.15888308335967 0 11.7803078866301 0 0 1 0 0 1 10.2961713262796 31 0 11.1480167161044 0 0 "Coui"
"163091" "Shom" "Fcou" "Pemp" "K0" "V1" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J2" "A2" "R1" "Q2" "O2" "M2" "T0" "D0" "B2" "I2" 124 54 1.38629436111989 6.71174039505618 0 0 0 0 0 1 76492 3.58351893845611 2.63905732961526 4.51085950651685 0 0 1 15.4506577367528 0 0 0 0 0 51 0 16.0454676446531 15.7708928471787 3.55534806148941 "Coui"
"255734" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R2" "Q2" "O1" "M1" "T0" "D2" "B0" "I1" 226 56 0.693147180559945 2.19722457733622 0 0 0 0 0 1 11231 2.19722457733622 3.04452243772342 1.09861228866811 0 0 0 0 0 0 0 0 0 0 0 9.69787689776422 0 0 "Coui"
"256787" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A1" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "I2" 69 38 0 0 0 0 0 0 0 1 0 0 2.63905732961526 0 11.4721138870624 0 0 0 0 0 0 0 0 0 0 11.5875782886654 0 0 "Coui"
"455868" "Shom" "Fseu" "Pouv" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "J0" "A0" "R1" "Q2" "O1" "M2" "T2" "D0" "B2" "I2" 143 28 0.693147180559945 3.63758615972639 10.9358531953853 1.79175946922805 9.27753162151651 0 9.27753162151651 2 12383 3.63758615972639 2.63905732961526 3.73766961828337 12.0309272781852 0 0 0 2 1 10.2625596210746 1 10.2224865894939 17 0 11.3283172958698 0 0 "Coui"
"505668" "Shom" "Fcou" "Pemp" "K1" "V0" "U1" "X1" "Y0" "R1" "N1" "E1" "G1" "F1" "L0" "H0" "J2" "A2" "R1" "Q1" "O0" "M2" "T1" "D0" "B2" "I1" 122 53 0 4.0943445622221 9.02437217426203 2.56494935746154 12.1768085998436 10.3578698008789 11.9998415194874 2 2420 4.11087386417331 2.63905732961526 4.58496747867057 14.1018399659779 0 0 0 1 1 9.02437217426203 0 0 33 1 9.46475000516439 0 4.45434729625351 "Coui"
"555090" "Shom" "Fcou" "Pint" "K0" "V1" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A2" "R1" "Q1" "O0" "M1" "T2" "D2" "B0" "I2" 121 60 0 3.04452243772342 11.5984699332418 0 0 0 0 1 3048 0 3.17805383034795 0.693147180559945 0 0 1 13.4525803764702 3 1 11.1267775722473 2 10.6204733225759 0 0 13.7602335496411 13.6348803699993 0 "Coui"
"585843" "Shom" "Fseu" "Pouv" "K1" "V1" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "J2" "A0" "R1" "Q1" "O2" "M2" "T2" "D0" "B2" "I2" 90 36 1.09861228866811 3.73766961828337 11.5528766804725 1.6094379124341 10.4651298571275 6.99576615630485 10.4335273952259 2 6647 3.73766961828337 2.63905732961526 4.60517018598809 0 0 1 8.74989095553526 2 2 11.5528766804725 0 0 63 0 11.7579792249914 9.6501424924888 3.52636052461616 "Coui"
"605838" "Shom" "Fseu" "Psan" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "J1" "A2" "R1" "Q1" "O1" "M2" "T0" "D0" "B1" "I2" 80 60 0.693147180559945 4.15888308335967 0 0 11.4983903399924 11.4983903399924 0 1 7319 3.17805383034795 2.63905732961526 2.77258872223978 11.4287935746405 0 0 0 0 0 0 0 0 0 0 12.1670875046276 0 2.30258509299405 "Coui"
"648247" "Sfem" "Fcou" "Psan" "K0" "V0" "U2" "X2" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A0" "R0" "Q1" "O2" "M1" "T1" "D0" "B1" "I1" 55 36 1.38629436111989 2.39789527279837 9.77911409769637 0 0 0 0 1 6277 2.39789527279837 2.63905732961526 2.70805020110221 10.1064692120264 0 0 0 4 2 7.69712131728263 2 9.64601132214141 0 0 10.1392708841968 0 0 "Coui"
"741266" "Shom" "Fcou" "Pemp" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "J0" "A2" "R2" "Q1" "O2" "M2" "T2" "D0" "B2" "I2" 277 52 1.38629436111989 3.68887945411394 13.4890696390157 3.78418963391826 12.5290217120168 0 0 1 5150 3.09104245335832 2.63905732961526 3.8286413964891 0 12.5290217120168 0 0 4 2 12.6579536729463 1 11.4137016368251 3 0 14.0165328279805 13.109515191823 0 "Coui"
"744200" "Shom" "Fcou" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R2" "Q0" "O0" "M0" "T0" "D0" "B0" "I0" 210 49 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Coui"
"856548" "Shom" "Fcou" "Pemp" "K0" "V0" "U2" "X1" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R1" "Q2" "O1" "M1" "T2" "D0" "B0" "I2" 92 42 0.693147180559945 2.39789527279837 12.713209474049 0 0 0 0 1 8232 2.39789527279837 2.63905732961526 2.07944154167984 0 0 0 0 2 1 12.6522925459006 1 9.88471239720979 0 0 12.7438897009907 0 0 "Coui"
"942252" "Shom" "Fcou" "Pint" "K1" "V1" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "J0" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 234 56 1.09861228866811 3.46573590279973 11.1570073774006 3.13549421592915 11.53557697153 0 11.53557697153 2 26196 3.46573590279973 2.63905732961526 4.06044301054642 0 0 1 10.7018952437536 2 0 0 2 11.1570073774006 10 0 11.8610721464371 10.7018952437536 0 "Coui"
"1160038" "Shom" "Fcou" "Pemp" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A2" "R2" "Q1" "O1" "M2" "T1" "D0" "B2" "I1" 213 56 0.693147180559945 3.13549421592915 9.77832107624323 0 0 0 0 1 5823 3.13549421592915 2.63905732961526 3.93182563272433 11.7355168638763 0 0 0 1 0 0 1 9.77832107624323 15 0 10.0244211754318 0 0 "Coui"
"1483553" "Shom" "Fcou" "Pint" "K1" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "J2" "A1" "R0" "Q0" "O0" "M2" "T0" "D0" "B2" "I0" 46 47 0 3.76120011569356 4.61512051684126 1.94591014905531 11.9511481373166 10.1353133042332 11.7735805773614 2 -14536 3.76120011569356 2.63905732961526 4.44265125649032 0 0 0 0 1 0 0 1 4.61512051684126 32 0 5.54517744447956 0 4.90527477843843 "Coui"
"1541664" "Shom" "Fcou" "Pint" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "J2" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 122 53 2.30258509299405 4.60517018598809 10.7297003922836 2.30258509299405 12.6979050343536 0 12.1697042606183 2 20841 4.57471097850338 2.63905732961526 4.71849887129509 12.4987683785549 11.8071312119093 0 0 2 2 10.7297003922836 0 0 16 0 11.6873744475456 0 3.73766961828337 "Coui"
"1746629" "Shom" "Fseu" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "J2" "A2" "R1" "Q0" "O2" "M2" "T0" "D0" "B1" "I0" 106 52 1.79175946922805 3.09104245335832 0 2.39789527279837 11.7576817690205 0 11.7576817690205 1 -808 3.09104245335832 2.63905732961526 2.63905732961526 11.9718491881328 0 0 0 0 0 0 0 0 1 0 8.4724050086261 0 3.85014760171006 "Coui"
"1963266" "Shom" "Fseu" "Pemp" "K0" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "J0" "A0" "R1" "Q1" "O0" "M2" "T2" "D0" "B1" "I2" 135 29 0 3.29583686600433 12.6289191514691 2.63905732961526 12.4278272326801 0 0 1 6863 3.25809653802148 2.63905732961526 3.43398720448515 0 12.4278272326801 1 10.395802913543 4 2 12.1599030446833 2 11.6464506075752 6 0 12.865753524507 11.2087209794324 0 "Coui"
"2645927" "Sfem" "Fcou" "Pemp" "K0" "V0" "U2" "X2" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J0" "A2" "R1" "Q1" "O2" "M2" "T2" "D0" "B1" "I2" 171 52 1.09861228866811 3.09104245335832 12.4616214295931 0 0 0 0 1 7029 2.94443897916644 2.63905732961526 3.55534806148941 12.2904183895416 0 0 0 4 2 12.4091522554086 2 9.48804786328076 5 0 12.5070842339427 8.93918760147561 0 "Coui"
"2647279" "Shom" "Fseu" "Psan" "K0" "V0" "U2" "X1" "Y1" "R1" "N1" "E0" "G0" "F1" "L0" "H1" "J0" "A0" "R1" "Q2" "O2" "M1" "T2" "D0" "B1" "I2" 86 25 1.38629436111989 2.39789527279837 10.637728690631 0 0 0 0 1 42549 2.39789527279837 2.63905732961526 3.2188758248682 11.8740972827986 0 0 0 2 1 10.6290777215854 1 5.88610403145016 14 1 11.384296322373 8.35019365072007 0 "Coui"
"3341662" "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "J0" "A1" "R2" "Q0" "O2" "M2" "T1" "D0" "B0" "I2" 267 47 2.484906649788 5.8636311755981 4.90527477843843 1.38629436111989 12.7963146270074 10.7369400061013 10.7342203960486 0 0 0 0 0 0 12.5023253846648 0 0 1 0 0 1 4.90527477843843 0 0 11.1801065468469 6.21660610108486 0 "Coui"
"3345708" "Sfem" "Fseu" "Psan" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A2" "R1" "Q2" "O2" "M1" "T0" "D0" "B2" "I1" 166 65 1.09861228866811 3.04452243772342 0 0 0 0 0 1 9200 3.04452243772342 2.63905732961526 3.66356164612965 11.4295547255373 0 0 0 0 0 0 0 0 12 0 10.1275107168773 0 0 "Coui"
"4110356" "Shom" "Fcou" "Psan" "K0" "V1" "U2" "X2" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J0" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 127 64 1.79175946922805 3.8286413964891 12.421063050088 0 0 0 0 1 18634 3.8286413964891 2.63905732961526 4.12713438504509 12.3831471271371 0 4 12.8349532679673 4 2 11.8354219223386 2 11.6074535208135 14 0 13.7581578899641 13.4169088427975 0 "Coui"
"5001267" "Shom" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F1" "L0" "H0" "J0" "A1" "R0" "Q0" "O0" "M0" "T0" "D1" "B0" "I0" 35 39 0 1.09861228866811 0 1.79175946922805 12.899222326087 0 12.899222326087 1 413 1.09861228866811 2.70805020110221 1.94591014905531 9.99428757686257 0 0 0 0 0 0 0 0 0 0 4.70953020131233 0 0 "Coui"
"5016081" "Shom" "Fseu" "Pouv" "K0" "V0" "U2" "X2" "Y2" "R0" "N1" "E1" "G1" "F0" "L1" "H0" "J0" "A0" "R0" "Q2" "O2" "M1" "T2" "D0" "B2" "I2" 29 32 1.79175946922805 2.83321334405622 13.2210025553948 2.30258509299405 11.9028707614204 0 0 1 11304 2.83321334405622 2.63905732961526 3.66356164612965 0 11.9028707614204 0 0 4 2 12.1097819852119 2 12.8217851728175 0 1 13.2393478720895 0 0 "Coui"
"5017772" "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A0" "R0" "Q2" "O0" "M1" "T2" "D2" "B0" "I2" 28 36 0 2.89037175789616 12.25305641725 0 0 0 0 1 7946 2.89037175789616 3.17805383034795 2.07944154167984 0 0 0 0 3 1 11.5129354649202 2 11.6047842409814 0 0 12.274464669878 0 0 "Coui"
"5021576" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R0" "Q2" "O2" "M2" "T1" "D1" "B2" "I2" 27 60 1.09861228866811 3.36729582998647 10.3262357767669 0 0 0 0 1 49622 3.36729582998647 2.70805020110221 4.04305126783455 0 0 0 0 1 0 0 1 10.3262357767669 19 0 11.4791825214053 0 0 "Coui"
"5049589" "Sfem" "Fseu" "Pouv" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A1" "R0" "Q2" "O1" "M1" "T2" "D0" "B1" "I2" 16 37 0.693147180559945 2.56494935746154 12.0257670553094 0 0 0 0 1 10365 2.56494935746154 2.63905732961526 2.89037175789616 10.6919676399149 0 0 0 1 1 12.0257670553094 0 0 4 0 12.0402482590237 0 0 "Coui"
"5058983" "Sfem" "Fcou" "Pemp" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A2" "R0" "Q2" "O1" "M2" "T2" "D1" "B2" "I2" 13 55 0.693147180559945 4.00733318523247 11.7756127541827 0 0 0 0 1 37097 4.00733318523247 2.70805020110221 4.06044301054642 0 0 1 11.5643977433392 2 0 0 2 11.7756127541827 21 0 12.3964450405138 11.5643977433392 0 "Coui"
"5075806" "Shom" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F1" "L0" "H0" "J1" "A0" "R0" "Q2" "O2" "M2" "T1" "D0" "B2" "I2" 6 36 1.38629436111989 6.25382881157547 6.21660610108486 0 9.45743479744618 9.45743479744618 0 1 42263 5.12989871492307 2.63905732961526 4.21950770517611 8.1300590399928 0 0 0 1 0 0 1 6.21660610108486 39 0 12.9182574549673 0 2.56494935746154 "Coui"
"5078110" "Shom" "Fcou" "Pemp" "K0" "V0" "U1" "X1" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "J2" "A0" "R0" "Q0" "O0" "M0" "T0" "D2" "B0" "I0" 5 31 0 0 0 0 11.0176614619883 7.49164547360513 10.9878149630929 1 -24136 0 3.63758615972639 0.693147180559945 0 0 0 0 1 1 0 0 0 0 0 0 0 4.18965474202643 "Coui"
"5082842" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R0" "Q2" "O0" "M1" "T0" "D0" "B0" "I1" 3 41 0 2.39789527279837 0 0 0 0 0 1 10333 2.39789527279837 2.63905732961526 0.693147180559945 0 0 0 0 1 0 0 1 0 0 0 10.6262178068877 0 0 "Coui"
"5084316" "Shom" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L1" "H0" "J0" "A1" "R0" "Q1" "O1" "M0" "T0" "D2" "B0" "I1" 3 41 0.693147180559945 1.6094379124341 0 0 12.345838935722 0 0 1 7409 1.6094379124341 2.99573227355399 1.94591014905531 0 12.345838935722 0 0 0 0 0 0 0 0 0 9.51789859843275 0 0 "Coui"
"5087370" "Shom" "Fseu" "Psan" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J1" "A1" "R0" "Q2" "O0" "M2" "T2" "D0" "B1" "I2" 1 37 0 5.64190707093811 11.1562648066437 0 0 0 0 1 173228 5.45958551414416 2.63905732961526 2.99573227355399 8.1300590399928 0 0 0 2 0 0 2 11.1562648066437 7 0 14.0959693552641 13.1697487457862 1.94591014905531 "Coui"
"5088208" "Shom" "Fcou" "Psan" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R0" "Q1" "O2" "M1" "T1" "D0" "B0" "I1" 1 62 1.09861228866811 2.30258509299405 6.39859493453521 0 0 0 0 1 1980 2.30258509299405 2.63905732961526 2.39789527279837 0 0 0 0 2 0 0 2 6.39859493453521 3 0 9.9389512168117 0 0 "Coui"
"5088873" "Shom" "Fcou" "Psan" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "J1" "A2" "R0" "Q1" "O2" "M0" "T0" "D1" "B0" "I1" 1 62 1.6094379124341 1.6094379124341 0 0 10.8197982842103 0 10.8197982842103 1 1785 1.6094379124341 2.70805020110221 2.19722457733622 0 0 0 0 0 0 0 0 0 0 0 10.5766360865894 0 1.6094379124341 "Coui"
"143397" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X0" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A1" "R1" "Q1" "O1" "M1" "T1" "D0" "B0" "I1" 144 46 0.693147180559945 2.19722457733622 9.32963337816417 0 0 0 0 1 7432 1.6094379124341 2.56494935746154 1.09861228866811 12.2097209822489 0 0 0 2 0 0 2 9.32963337816417 0 0 9.84845041660622 0 0 "Coui"
"159663" "Sfem" "Fseu" "Pint" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J1" "A1" "R1" "Q2" "O1" "M2" "T2" "D0" "B1" "I2" 152 41 0.693147180559945 3.8286413964891 11.9234046482341 0 0 0 0 2 8489 3.25809653802148 2.56494935746154 3.3322045101752 0 0 0 0 3 1 11.5112440521877 2 10.8380699668824 4 0 12.0705163470239 0 1.6094379124341 "Coui"
"458833" "Shom" "Fcou" "Pemp" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 111 53 1.38629436111989 3.46573590279973 12.0818350741027 0 0 0 0 1 9384 3.46573590279973 2.56494935746154 4.39444915467244 0 0 0 0 3 0 0 3 12.0818350741027 29 0 12.1202532850792 0 0 "Coui"
"521801" "Shom" "Fseu" "Psan" "K1" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J2" "A2" "R0" "Q0" "O1" "M0" "T0" "D0" "B1" "I0" 47 56 0.693147180559945 1.6094379124341 0 0 0 0 0 2 827 1.6094379124341 2.56494935746154 2.70805020110221 0 0 0 0 0 0 0 0 0 0 0 7.38523092306657 0 3.43398720448515 "Coui"
"547186" "Shom" "Fseu" "Pint" "K1" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "J2" "A0" "R2" "Q2" "O2" "M2" "T1" "D0" "B2" "I2" 216 36 2.89037175789616 4.57471097850338 9.87806717518922 1.94591014905531 13.3447386336555 7.94129557090653 11.9009934502351 2 24601 4.46590811865458 2.56494935746154 4.87519732320115 12.414297463897 13.0695910951163 1 10.5938809448995 4 3 9.43332391048903 1 8.8538082749772 11 0 11.7037276262338 10.9874429518606 2.99573227355399 "Coui"
"555715" "Shom" "Fseu" "Pouv" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "J1" "A0" "R1" "Q2" "O0" "M2" "T1" "D2" "B2" "I2" 113 27 0 3.46573590279973 9.16020430248239 1.94591014905531 11.8559831129498 11.4900968640302 10.673202178265 2 51945 3.46573590279973 2.77258872223978 4.46590811865458 0 0 0 0 2 1 9.09616332691378 1 6.3818160174061 59 0 11.6152473687193 8.07464907506665 2.19722457733622 "Coui"
"647443" "Shom" "Fcou" "Pouv" "K0" "V0" "U2" "X2" "Y0" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "J1" "A1" "R0" "Q1" "O0" "M0" "T2" "D2" "B0" "I2" 70 37 0 1.6094379124341 11.1984749602377 3.29583686600433 12.553551938773 0 0 1 1901 0.693147180559945 3.52636052461616 1.09861228866811 0 12.553551938773 0 0 2 2 11.1984749602377 0 0 0 0 11.233634753033 7.71779621101358 0.693147180559945 "Coui"
"1043580" "Shom" "Fcou" "Pint" "K1" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F0" "L0" "H0" "J0" "A1" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I1" 288 47 1.79175946922805 3.89182029811063 11.0749319998539 0 9.64523482410835 9.64523482410835 0 2 8358 3.91202300542815 2.56494935746154 4.31748811353631 0 0 0 0 1 0 0 1 11.0749319998539 16 0 11.1146842019514 0 0 "Coui"
"1045144" "Sfem" "Fcou" "Pemp" "K0" "V0" "U1" "X1" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R2" "Q0" "O0" "M0" "T1" "D0" "B0" "I0" 230 54 0 0 8.31605572036464 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 8.31605572036464 0 0 0 0 8.31605572036464 0 0 "Coui"
