"JOUR","O3obs","MOCAGE","TEMPE","RMH2O","NO2","NO","STATION","VentMOD","VentANG"
0,82,71.7,23.5,0.01149,1.26,0.283,Als,2.59422,0.48089
0,142,157.7,29.6,0.01427,4.596,0.521,Als,0.14142,0.7854
0,131,82.2,30,0.01318,2.72,0.58,Als,1.07703,0.38051
0,125,103.9,28.4,0.01115,1.361,0.236,Als,4.70106,0.02127
1,65,89.1,23.3,0.01048,0.817,0.172,Als,5.51453,0.0726
1,87,80.4,22.7,0.00783,0.812,0.194,Als,4.66476,0.54042
0,96,101.4,23.8,0.00805,1.851,0.387,Als,1.50333,1.50423
0,35,87.8,20.3,0.00931,1.528,0.356,Als,4.60977,1.14596
0,103,95.1,23.3,0.00701,0.873,0.184,Als,5.10392,-0.0392
0,79,89.6,22.1,0.00733,0.831,0.179,Als,2.81603,-0.10674
0,88,76.6,22.8,0.00924,1.555,0.368,Als,5,0.9273
1,70,75.4,18.4,0.00702,1.193,0.331,Als,4.07185,0.43069
1,72,59.5,15.2,0.00858,1.246,0.454,Als,2.43516,-0.33474
0,64,50.6,19,0.00619,0.62,0.228,Als,5.54437,0.68319
0,90,74.5,21,0.00742,0.968,0.258,Als,3.00167,0.52328
0,66,78.8,21.4,0.00824,1.361,0.326,Als,3.08058,1.34156
0,57,85,23.5,0.01027,1.306,0.256,Als,4.12311,0.68232
1,92,76.9,21.9,0.00804,1.064,0.254,Als,3.72022,0.63275
1,67,53.5,19.2,0.00897,0.782,0.216,Als,6.72681,0.08931
0,101,114.5,25.2,0.00974,2.409,0.389,Als,6.26259,0.67225
0,98,60.2,23,0.01359,1.736,0.465,Als,5.80086,0.01724
1,74,97,22.3,0.00919,1.35,0.252,Als,1.11803,-0.46365
1,61,96.8,18.5,0.01269,2.729,0.583,Als,3.1257,1.44247
0,91,107.7,22.2,0.01255,1.659,0.195,Als,2.3,0
0,91,93,22.7,0.01069,1.289,0.205,Als,3.22025,0.63108
0,78,87.7,21.7,0.01058,1.715,0.323,Als,2.60768,0.07677
0,62,64.2,17.9,0.01195,2.114,0.553,Als,6.02163,0.62025
0,68,93.5,19.6,0.00529,1.383,0.285,Als,4.65296,0.49249
1,79,81.8,21.3,0.00641,1.254,0.272,Als,2.2561,1.34732
1,103,96.7,23.4,0.00677,2.399,0.477,Als,4,0.9273
0,120,144,26.4,0.00943,2.854,0.352,Als,5.06952,1.18663
0,126,151.1,28.7,0.00947,2.519,0.286,Als,6.15549,0.81987
0,144,180.5,28.7,0.00945,5.117,0.501,Als,2.69258,1.19029
0,93,109.3,28.3,0.01268,1.681,0.23,Als,4.29535,0.21109
0,109,93,26.6,0.01033,3.22,0.556,Als,1.98494,0.71409
1,98,111.8,25.7,0.01056,1.814,0.274,Als,4.78017,0.65187
1,102,128.7,27.2,0.00933,5.772,0.815,Als,5.39073,0.70661
0,111,134.8,26.6,0.00703,5.738,0.797,Als,2.2,1.57079
0,126,119.8,26.4,0.01124,3.86,0.471,Als,1.47648,0.49394
0,156,117.5,28.1,0.01025,1.915,0.208,Als,4.10488,0.97604
0,110,139.6,29,0.00966,2.97,0.281,Als,3.84708,1.0839
1,78,101.7,25.4,0.01025,1.835,0.203,Als,3.27567,1.02514
1,33,91.3,19.7,0.01281,2.272,0.298,Als,2.28254,1.06795
0,58,80.5,19.5,0.01192,2.363,0.381,Als,2.41661,0.42663
0,41,67.7,21.2,0.0097,4.203,1.043,Als,3.96232,0.8211
0,87,110.2,23.4,0.00885,2.25,0.294,Als,5.69386,0.5344
0,42,96.7,23.5,0.01019,2.519,0.343,Als,5.73062,0.51049
0,39,51.7,12.7,0.00861,6.336,1.874,Als,4.20476,1.12842
1,65,59.8,14.9,0.00484,4.398,1.409,Als,4.85489,1.00565
0,65,83.2,16.9,0.00514,5.067,1.116,Als,2.24722,1.20682
0,78,82.9,19.3,0.00469,4.741,0.955,Als,6.16117,0.94677
0,57,104.9,19.4,0.00672,5.205,0.779,Als,4.51885,1.13684
0,79,69.3,20.5,0.00708,3.934,0.883,Als,2.64008,0.91972
1,101,111.2,19.3,0.00665,2.633,0.343,Als,4.15933,0.4744
0,23,65.1,18.3,0.01106,2.519,0.507,Als,2.77849,0.52807
0,19,48.2,20.5,0.00786,7.777,2.143,Als,3.58469,1.04473
0,41,63.4,18.2,0.00655,1.795,0.402,Als,4.20119,0.66731
0,52,58.8,15.5,0.00839,2.917,0.668,Als,6.2642,0.29146
1,84,81.3,22.3,0.00904,0.785,0.213,Cad,9.3622,-0.40629
1,103,100.5,20.7,0.00748,0.981,0.233,Cad,9.4366,-0.17038
0,100,115.1,17.9,0.00816,0.811,0.193,Cad,9.4048,-0.14942
0,96,95,19.7,0.00726,0.743,0.191,Cad,10.9385,-0.24941
0,115,93.8,24.3,0.0071,0.788,0.199,Cad,9.7739,-0.3444
0,114,117.5,24.9,0.00909,1.109,0.22,Cad,7.6531,-0.11787
0,153,128.8,27.1,0.00937,1.194,0.197,Cad,4.6872,0.588
1,203,182,25.4,0.01275,5.952,0.812,Cad,6.1074,0.69264
1,208,188,25.3,0.01184,7.85,1.13,Cad,6.7956,0.57576
0,121,137.7,25.5,0.01141,10.433,1.931,Cad,6.1221,0.66964
0,112,101.1,21.1,0.01706,1.154,0.27,Cad,6.8118,-0.86854
0,114,129.3,17.7,0.01684,3.685,0.685,Cad,2.9206,0.66405
0,56,146.4,14.3,0.01488,2.988,0.524,Cad,5.2154,0.07677
0,103,115.4,19,0.01088,1.922,0.354,Cad,8.5475,0.10549
1,84,78.7,15.3,0.01547,0.84,0.235,Cad,1.6125,-1.05165
1,72,88.4,20.4,0.01315,0.76,0.197,Cad,8.1345,-0.36453
0,92,85.3,23,0.0069,0.854,0.219,Cad,11.0693,-0.39896
0,77,89.2,25.2,0.00922,0.953,0.221,Cad,9.2445,-0.27384
0,178,192.3,26.9,0.01209,5.783,0.703,Cad,7.6158,0.40489
0,114,126.2,29.4,0.0117,1.363,0.226,Cad,7.7414,-0.10352
0,173,143.1,28.5,0.01208,5.686,0.898,Cad,6.9354,0.4314
0,194,177.6,30.9,0.0101,6.974,0.94,Cad,6.3906,0.35144
0,188,159.8,31.6,0.00888,4.145,0.777,Cad,7.8109,0.3258
0,143,203.2,32.3,0.01132,6.198,0.703,Cad,6.4885,0.49812
0,125,214.5,30.8,0.00733,4.045,0.466,Cad,6.4133,0.18822
1,106,138,34.1,0.01192,1.112,0.159,Cad,7.5505,-0.19999
1,114,157.8,32.9,0.01569,3.481,0.454,Cad,7.1847,0.60731
0,112,144.1,31.7,0.01414,1.918,0.274,Cad,7.7666,-0.2075
0,100,147.7,30.8,0.01047,1.7,0.228,Cad,9.6047,-0.25255
0,166,48.3,27,0.02361,1.488,0.494,Cad,3.1953,-1.21935
0,135,183,27.8,0.01463,7.783,1.054,Cad,5.8052,0.73666
0,73,104.1,26.6,0.00891,1.151,0.214,Cad,11.9281,-0.60661
1,101,102.6,27,0.00727,1.027,0.204,Cad,7.311,-0.05474
1,117,108,26.1,0.01003,0.906,0.192,Cad,5.4745,0.16515
0,118,146.9,24.8,0.01367,2.28,0.374,Cad,4.9659,1.13417
0,74,129.9,26.5,0.01146,1.347,0.241,Cad,7.3682,-0.13614
0,108,148.6,24.4,0.01769,6.491,1.121,Cad,7.5769,0.39276
0,64,100.2,26.6,0.008,1.063,0.217,Cad,11.0766,-0.11764
0,131,134.7,26.5,0.00937,4.539,0.86,Cad,7.7698,0.55587
1,77,100.8,24.6,0.01033,0.875,0.18,Cad,7.9202,-0.42976
1,91,155.1,30.1,0.01152,2.396,0.338,Cad,7.0214,0.18622
0,102,113.9,30.2,0.01037,0.922,0.163,Cad,5.1662,-1.31643
0,105,130.5,28.9,0.01219,1.757,0.329,Cad,4.1617,0.95613
0,82,199.7,26.8,0.01421,2.838,0.309,Cad,6.9065,-0.04345
0,80,106.5,29.1,0.00923,1.106,0.215,Cad,8.36,-0.1199
0,89,119.6,29.8,0.00892,1.149,0.202,Cad,8.4593,-0.11849
1,70,73.9,25.5,0.01073,0.446,0.124,Cad,9.0377,-0.43395
0,94,137.6,20.3,0.01901,1.571,0.241,Cad,6.407,-0.04684
0,77,129.5,26.8,0.01463,1.6,0.263,Cad,8.9944,-0.49846
0,114,112.9,29.4,0.01169,0.867,0.155,Cad,10.3092,-0.31562
0,157,163.3,28.8,0.00785,1.878,0.282,Cad,7.7104,-0.16941
1,202,199.6,30.8,0.01222,3.813,0.409,Cad,8.3385,0.09609
1,191,268.6,30.7,0.0148,7.332,0.653,Cad,5.728,0.2831
0,112,151.5,31.9,0.00785,1.948,0.258,Cad,8.0623,-0.12435
0,189,179.9,30.5,0.01372,2.412,0.276,Cad,7,0
0,81,86.1,28.5,0.01048,0.568,0.126,Cad,12.8316,-0.7137
0,101,104.1,28,0.00958,1.197,0.221,Cad,10.6892,-0.4762
0,133,128.1,29,0.01221,1.477,0.251,Cad,4.7885,0.50101
1,147,131,28.7,0.01414,2.595,0.437,Cad,7.2498,0.42663
1,175,185.6,28.4,0.01535,2.914,0.351,Cad,6.4514,0.33155
0,143,172.3,23.9,0.02753,1.996,0.22,Cad,5.4589,0.49642
0,123,158.5,22.6,0.02186,2.948,0.428,Cad,5.7871,0.17367
0,137,141.8,31,0.01065,2.276,0.351,Cad,7.278,0.22165
1,224,157,32.2,0.01241,3.298,0.462,Cad,8.1271,0.32564
1,182,175.2,32.5,0.01564,3.332,0.413,Cad,8.132,0.28675
0,257,153.6,34.5,0.0104,3.863,0.548,Cad,8.5615,0.24781
0,269,173.5,34.3,0.01386,4.062,0.508,Cad,8.4694,0.40024
0,319,155.9,34.9,0.01142,2.87,0.385,Cad,8.3744,0.20442
0,209,185.6,33.1,0.019,1.931,0.215,Cad,3.7014,0.02702
0,209,174.6,30.4,0.02143,3.664,0.458,Cad,3.9395,0.41822
1,175,157.8,33.1,0.01556,2.308,0.306,Cad,5.1788,0.17467
1,208,141.3,33.4,0.0107,4.672,0.734,Cad,8.9694,0.38879
0,185,182.1,34.9,0.01817,3.313,0.378,Cad,8.5796,0.36968
0,254,211.2,36.3,0.01347,5.991,0.589,Cad,7.6968,0.42878
0,296,189,35,0.01722,6.023,0.668,Cad,8.5088,0.41106
0,201,203.9,34.3,0.01557,3.562,0.402,Cad,7.3926,0.40312
1,168,168.5,33.6,0.01599,2.645,0.308,Cad,7.7466,0.19486
1,102,161.9,32.3,0.01675,2.924,0.361,Cad,5.9682,0.54617
0,137,134.1,30.2,0.01361,2.587,0.402,Cad,6.9893,0.33532
0,134,120.5,32.8,0.01016,0.997,0.159,Cad,9.6338,-0.16686
1,141,110.3,26,0.00681,3.088,0.747,Cad,3.8079,1.04839
0,114,123.8,26.2,0.00412,0.85,0.142,Cad,5.8421,-1.45069
0,97,90.6,22.4,0.00343,0.551,0.14,Cad,9.1417,-0.34597
1,108,118.9,21.3,0.0043,0.738,0.146,Cad,9.2957,-0.70163
0,99,112.9,21,0.00328,1.194,0.259,Cad,9.7082,-0.04121
0,135,127.8,18.8,0.00748,1.392,0.244,Cad,2.1024,-0.04758
0,118,122.2,21.5,0.00398,1.887,0.365,Cad,5.8009,0.01724
0,130,131,20.6,0.00547,2.106,0.392,Cad,8.6452,-0.71992
1,105,85,17.3,0.01121,2.47,0.734,Cad,4.1593,-0.1691
1,113,111.9,19.3,0.00639,1.659,0.386,Cad,6.407,-0.04684
0,103,96.6,14.8,0.00983,1.327,0.363,Cad,2.6476,0.18999
0,86,120.7,15.6,0.0101,0.971,0.181,Cad,6.5437,-0.67713
0,85,97.1,18.6,0.00718,1.269,0.317,Cad,8.7092,-0.37624
0,113,132.6,23.1,0.00444,2.065,0.376,Cad,6.5008,-0.01538
0,122,135.4,23.5,0.0062,6.268,1.266,Cad,7.4,0.3303
1,127,113.4,24.9,0.00528,3.546,0.834,Cad,6.4661,0.55368
1,123,129.4,22.5,0.00541,0.787,0.147,Cad,6.1847,-0.68232
0,93,100.3,21.9,0.0071,0.745,0.168,Cad,11.3217,-0.42809
0,114,124.3,24.4,0.0074,1.773,0.341,Cad,5.8215,0.08599
0,201,188.4,26.5,0.01336,2.915,0.356,Cad,3.5903,0.22471
0,207,217,26.6,0.01328,3.434,0.355,Cad,5.9211,0.08454
0,169,150.4,27.6,0.01074,1.773,0.258,Cad,4.1183,0.5071
1,183,164.1,26.5,0.01085,2.369,0.338,Cad,6.637,0.10567
1,192,160.7,26.6,0.01089,2.296,0.339,Cad,7.0093,0.24498
0,101,111.7,27.9,0.01428,0.946,0.172,Cad,9.5462,-0.39801
0,109,109.1,25.6,0.01166,1.611,0.35,Cad,3.4059,-0.05876
0,156,127.4,23.5,0.01279,1.429,0.245,Cad,2.7459,0.5779
0,200,128.9,24.5,0.0117,0.894,0.154,Cad,2.7313,0.41451
0,138,168.3,25.8,0.01003,1.773,0.24,Cad,3.3541,1.39094
1,111,121,26.5,0.00417,0.964,0.191,Cad,7.4632,-0.31328
1,96,102.2,27.9,0.00474,0.856,0.188,Cad,9.4868,-0.32175
0,77,101.7,27.5,0.00566,1.009,0.213,Cad,9.6897,-0.54219
0,108,132.9,20.6,0.00656,3.218,0.648,Cad,7.8892,0.53172
0,125,108.1,21.9,0.00477,1.628,0.369,Cad,6.5192,0.36057
0,168,127.9,21,0.00494,1.539,0.311,Cad,7.506,-0.03998
1,135,135.9,20.9,0.00643,4.878,1.062,Cad,7.2014,0.44502
1,137,128.5,23.8,0.00746,1.258,0.226,Cad,5.9464,0.83298
0,137,126,25.4,0.008,0.756,0.132,Cad,7.7666,-0.96851
0,132,165.1,30.1,0.00804,1.27,0.169,Cad,6.5069,-0.04612
1,181,157.5,30.6,0.01108,1.435,0.184,Cad,6.5734,0.23022
0,148,152.8,27.6,0.01221,1.097,0.157,Cad,2.2023,-0.88187
0,141,157.6,27.5,0.01324,1.964,0.282,Cad,3.7121,-0.0809
0,127,161.7,30,0.01018,2.069,0.251,Cad,4.9193,0.46365
1,125,157.5,30.3,0.00847,2.922,0.427,Cad,7.2111,0.33929
1,220,187.1,33,0.00793,3.844,0.461,Cad,6.9426,0.20305
0,163,198.8,33.4,0.00757,9.536,1.188,Cad,7.2277,0.25169
0,125,152.2,32.8,0.00821,4.81,0.736,Cad,8.9811,0.32879
0,110,153,28.5,0.01098,3.088,0.513,Cad,7.3239,0.61073
0,114,94.2,28.3,0.00655,0.797,0.182,Cad,10.4785,-0.23109
0,78,79.3,26.1,0.00473,0.702,0.196,Cad,11.3864,-0.80403
1,97,154.5,29.7,0.00658,2.851,0.407,Cad,6.8942,0.41822
1,132,184.1,31.2,0.01022,3.083,0.371,Cad,5.1546,0.31562
0,92,142.9,24.8,0.01375,3.305,0.491,Cad,6.7742,0.54295
0,75,106.2,26.9,0.00844,0.99,0.199,Cad,9.8995,-0.1419
0,83,103,26.5,0.00561,0.889,0.209,Cad,10.139,-0.25933
1,111,122.2,24.4,0.00554,0.981,0.189,Cad,10.0807,-0.18961
1,101,128.9,24.7,0.00755,1.085,0.159,Cad,1.2369,0.24498
0,123,134.4,29.9,0.00775,1.196,0.204,Cad,5.099,0.44611
0,150,171.5,28.4,0.00774,2.17,0.283,Cad,7.1021,0.16978
0,184,158.3,28.4,0.00881,1.122,0.156,Cad,0.6083,1.40565
1,203,172.5,29.4,0.00883,2.544,0.325,Cad,6.8007,0.345
0,161,177.1,29.3,0.00831,5.405,0.727,Cad,7.209,0.414
1,170,174.1,33.8,0.00978,3.719,0.462,Cad,7.0385,0.3937
1,217,221.1,35.1,0.00762,3.732,0.368,Cad,6.772,0.28438
0,131,266.7,24.1,0.01355,5.625,0.494,Cad,3.2249,0.51915
0,86,102.5,27.3,0.00836,1.128,0.222,Cad,9.3301,-0.3048
0,114,95.1,31.5,0.00481,1.029,0.22,Cad,10.0319,-0.41013
0,85,109.3,31.7,0.00651,1.109,0.207,Cad,10.2942,-0.69598
0,123,107.6,31,0.00458,0.981,0.193,Cad,10.1843,-0.34038
1,108,150.1,27.9,0.00484,1.635,0.254,Cad,8.1056,0.03702
1,136,154.7,30,0.00811,3.482,0.51,Cad,6.7543,0.44378
0,163,157.2,30,0.01076,2.81,0.397,Cad,7.0214,0.45728
0,183,249.9,31.4,0.00923,4.311,0.401,Cad,7.3376,0.30451
0,136,136.3,32.8,0.00985,0.822,0.123,Cad,4.7676,1.4022
0,129,133.4,33.6,0.00923,0.83,0.124,Cad,5.9237,-1.19029
0,173,149.1,30.4,0.01098,1.421,0.195,Cad,7.1847,-0.96349
1,120,109.9,29.6,0.00607,0.893,0.175,Cad,8.6348,-0.23374
1,103,96.4,27,0.00372,0.838,0.187,Cad,10.2961,-0.19549
0,107,144.3,30.4,0.00496,1.819,0.265,Cad,7.0257,0.08551
0,110,126.4,23.2,0.01239,1.03,0.154,Cad,2.5495,0.44611
0,102,116.4,29.3,0.00713,1.353,0.239,Cad,10.7075,-0.96466
0,109,126.2,28.9,0.00549,1.668,0.278,Cad,10.8467,-0.71363
0,112,102.3,32.5,0.00481,1.507,0.286,Cad,7.0385,-0.3937
1,87,97.8,30.5,0.00393,0.643,0.147,Cad,10.6301,-0.71883
1,75,84,27.6,0.00598,0.843,0.204,Cad,10.9604,-0.79185
0,117,105.3,27.9,0.00285,1.536,0.29,Cad,4.2544,0.41106
0,146,135.9,27.6,0.00649,3.168,0.544,Cad,6.9778,0.44442
0,122,190.4,22.8,0.01417,2.995,0.326,Cad,4.2048,0.44237
0,99,115,29.9,0.00515,1.109,0.193,Cad,7.0937,-0.70557
1,95,67.1,29,0.00468,0.583,0.173,Cad,10.3368,-0.21447
1,89,98.3,28.9,0.00589,1.009,0.201,Cad,9.9141,-0.15188
0,158,168.2,29.6,0.00478,4.514,0.578,Cad,4.8384,0.31521
0,138,117.5,28,0.00843,1.293,0.22,Cad,6.7268,0.08931
1,93,108.1,24.3,0.00575,0.524,0.105,Cad,6.8066,-0.04409
1,64,115.6,20.2,0.00999,1.394,0.196,Cad,3.2016,0.25255
0,83,123,27.4,0.00801,1.458,0.231,Cad,8.9022,-0.66597
0,96,91.9,26.6,0.00522,0.657,0.149,Cad,10.2416,-0.45491
0,129,153.9,27.3,0.00847,1.938,0.246,Cad,6.1131,0.26482
0,128,142,26.6,0.00697,4.37,0.627,Cad,7.1784,0.32616
0,100,104.1,27.2,0.00807,1.929,0.3,Cad,6.7912,-0.23784
1,52,218.2,23.1,0.00952,6.148,0.482,Cad,5.8669,0.51703
1,97,100.5,23.5,0.01128,1.073,0.198,Cad,4.6648,-1.03038
0,132,154.3,28.3,0.00892,2.248,0.266,Cad,2.2361,0.46365
0,177,214,29.8,0.00907,3.615,0.318,Cad,5.5109,0.20095
0,175,198.2,29.3,0.0069,7.02,0.731,Cad,7.1021,0.16978
0,152,134.8,28.3,0.00857,4.684,0.693,Cad,6.14,0.52925
0,214,212.2,31.1,0.0081,7.331,0.67,Cad,5.2469,0.13381
1,209,175,30.4,0.00916,4.353,0.495,Cad,7.0456,0.11379
1,164,141.4,29.4,0.0077,3.691,0.529,Cad,6.0083,0.32175
0,110,137.6,24,0.00859,2.992,0.352,Cad,11.2201,-0.63994
0,104,103.7,20.8,0.013,1.551,0.281,Cad,9.3477,-0.60284
0,73,91.9,19,0.01288,1.998,0.319,Cad,6.5,-0.5325
0,114,78.5,19.7,0.01265,12.769,2.215,Cad,3.2202,0.44976
1,87,81,21.6,0.01268,0.757,0.101,Cad,2.184,-1.2925
0,84,97,21.7,0.00838,1.728,0.345,Cad,4.4283,0.11315
0,112,119.1,22.8,0.00896,3.543,0.559,Cad,3.1623,0.60554
0,103,124.6,24.7,0.00977,2.02,0.304,Cad,4.5695,0.40489
0,113,125.3,26.2,0.0098,2.6,0.357,Cad,5.022,0.22083
0,74,55.5,18.3,0.00998,1.847,0.632,Cad,2.0248,0.35299
0,119,127.6,20.5,0.00786,2.28,0.334,Cad,4.1049,0.04874
0,146,144.9,21,0.00659,11.54,1.414,Cad,4.982,0.18165
1,93,159.2,20.2,0.00986,8.893,0.977,Cad,3.0364,0.30092
1,96,65.8,14.7,0.00974,1.331,0.536,Ram,6.6611,0.94531
1,92,77.8,13.6,0.01268,1.248,0.46,Ram,7.8549,1.02164
0,92,91.1,12.9,0.01227,1.518,0.442,Ram,4.1869,0.86994
0,69,72.2,14.5,0.01368,2.105,0.775,Ram,7.2277,1.31911
0,89,81.3,14.9,0.01034,1.524,0.528,Ram,4.3909,0.5248
0,110,98.6,18.4,0.01032,1.849,0.473,Ram,3.9395,0.41822
0,132,114.8,20.6,0.00982,4.694,1.068,Ram,2.7203,1.2723
1,138,166.3,26.5,0.00813,12.191,1.953,Ram,4.78539,0.4543
1,131,169.3,27.4,0.00988,2.264,0.317,Ram,1.70294,-1.51204
0,107,128.8,23.3,0.01412,1.807,0.354,Ram,2.80713,-0.07131
0,97,116.7,18.5,0.01524,2.629,0.55,Ram,2.69258,0.54679
0,63,65.8,13.2,0.01447,13.93,6.49,Ram,9.10055,0.01099
0,92,106.6,17.6,0.01157,1.813,0.47,Ram,4.61411,0.52183
0,96,91.5,15.6,0.01191,1.895,0.56,Ram,5.71402,0.99736
1,86,110.1,17.4,0.0116,2.067,0.515,Ram,4.30116,0.95055
1,73,105.3,16,0.01001,1.543,0.363,Ram,7.00071,0.7753
0,85,68.6,16.1,0.01134,1.294,0.465,Ram,6.02163,0.62025
0,93,67,19.4,0.00932,1.029,0.34,Ram,6.58635,0.5248
0,51,83.3,19.4,0.0143,1.791,0.509,Ram,6.35138,0.58364
0,59,76.4,21.7,0.01558,1.541,0.435,Ram,5.40833,0.33929
0,100,117.4,27.5,0.01994,3.045,0.541,Ram,4.03113,-1.44644
1,82,100,22.1,0.0147,2.097,0.497,Ram,3.77359,0.5586
1,83,122.9,27.1,0.01348,1.613,0.293,Ram,2.92062,0.90675
0,151,182.2,32.4,0.01859,2.264,0.257,Ram,3.33017,0.84914
0,60,93.8,22.7,0.01625,2.055,0.473,Ram,7.31095,-0.69824
0,98,144.9,21.7,0.01323,11.024,1.99,Ram,3.49285,1.15839
0,76,97.5,21.3,0.01437,2.076,0.471,Ram,3.55106,-0.56457
0,116,144.4,22.5,0.01514,2.175,0.361,Ram,2.14709,0.48448
1,73,118.2,24.3,0.01582,1.807,0.315,Ram,4.07922,0.1974
1,102,128.1,23.1,0.01044,3.243,0.611,Ram,4.219,-1.47584
0,115,98,22.3,0.01003,2.865,0.678,Ram,5.33667,-1.344
0,135,138.6,22.1,0.00954,2.346,0.386,Ram,3.25576,-1.38545
0,124,144.7,24.4,0.00957,2.784,0.543,Ram,3.93954,-1.15257
0,90,82.5,21.6,0.01111,1.974,0.688,Ram,5.20096,-0.90807
0,94,66.5,18.6,0.00963,3.542,1.412,Ram,5.24023,-0.8394
1,116,66.7,19.3,0.00875,0.855,0.324,Ram,2.9,-0.76101
1,87,80.5,22.1,0.00948,0.936,0.262,Ram,4.13038,-0.12135
0,56,59.3,16,0.01593,1.739,0.676,Ram,7.71038,0.81291
0,128,86.4,23.6,0.01406,1.977,0.485,Ram,7.49533,-1.342
0,105,104.7,22.6,0.01499,2.472,0.537,Ram,4.39318,-1.36447
0,115,153.3,24.1,0.0113,6.935,1.051,Ram,5.09902,1.12469
0,138,165.1,25,0.00962,9.132,1.249,Ram,4.38292,0.96381
1,134,176.7,27.6,0.00963,2.519,0.312,Ram,2,0.9273
1,96,92.8,22.1,0.01076,1.528,0.367,Ram,5.51543,-1.18019
0,113,131,23.2,0.00899,2.947,0.547,Ram,3.66879,-1.26629
0,73,100,25.8,0.01349,1.513,0.337,Ram,4.72017,-0.63503
0,85,92.8,23.5,0.00959,1.275,0.273,Ram,6.5192,-0.72027
0,73,93.3,20.4,0.01336,1.293,0.278,Ram,3.75899,-0.49935
0,70,113.1,24.3,0.01541,1.867,0.327,Ram,2.22036,-0.62549
1,140,208.6,28.8,0.01585,6.357,0.649,Ram,3.20624,-0.06242
1,137,190.3,32.8,0.01665,2.097,0.232,Ram,0.82462,-0.24498
0,174,209.6,31.1,0.01839,2.469,0.225,Ram,2.74591,-0.18311
0,84,170.5,24.7,0.01505,2.04,0.261,Ram,4.13401,-0.56116
0,85,91.7,20.1,0.01343,0.943,0.222,Ram,4.43847,0.39306
0,147,133.9,28.5,0.0118,2.161,0.321,Ram,0.98489,0.41822
1,202,143.2,30,0.01441,3.243,0.456,Ram,3.33766,-1.42042
1,228,170.2,33.2,0.01517,7.947,0.938,Ram,3.40147,1.1466
0,164,172.9,35.8,0.01307,11.809,1.378,Ram,3.98246,0.49734
0,228,195.7,37.4,0.0152,8.508,0.844,Ram,5.4037,0.68052
0,280,221.6,38,0.01418,9.192,0.903,Ram,4.95782,0.72832
0,227,153.5,35.7,0.0197,2.635,0.347,Ram,6.772,-1.28641
0,276,223.5,34.7,0.01937,9.091,0.765,Ram,1.70294,0.86854
1,221,158.7,35.6,0.01503,5.099,0.643,Ram,3.11448,0.83082
1,163,164.7,36.8,0.01194,2.647,0.319,Ram,2.23607,-0.17985
0,155,162.6,36.6,0.01354,1.168,0.137,Ram,4.70106,-1.54952
0,183,133.8,37.9,0.01344,0.887,0.11,Ram,3.80789,0.23861
0,169,128.6,33,0.01621,2.117,0.309,Ram,5.60357,1.5351
0,175,193.3,29.4,0.01398,18.784,2.368,Ram,2.78927,0.25367
1,140,114.2,24.3,0.01247,22.985,5.067,Ram,3.00167,0.52328
1,169,132.9,27.1,0.01145,8.488,1.457,Ram,4.20119,0.90349
1,146,137,27,0.01655,2.652,0.327,Ram,2.97321,-0.34302
0,103,112.6,21.3,0.01676,2.29,0.407,Ram,5.31507,0.20847
0,93,73.1,24.5,0.01273,1.174,0.307,Ram,3.18277,-0.80762
1,100,87.4,23.6,0.00895,2.34,0.577,Ram,6.00083,1.15934
0,103,103,21.2,0.01191,1.135,0.215,Ram,2.90172,0.03447
0,79,87.8,12.3,0.00821,2.796,0.762,Ram,4.59674,-0.77001
1,97,79.8,14.3,0.00499,2.495,0.792,Ram,5.0774,-1.01011
1,99,74.8,14.4,0.0047,1.007,0.337,Ram,8.68217,-0.57203
1,90,66.6,13,0.00527,1.603,0.609,Ram,5.1614,-0.62025
0,105,74.2,12.8,0.00317,2.825,1.082,Ram,2.65707,-1.22524
0,92,80.7,12.9,0.00361,3.764,1.307,Ram,5.23927,1.15839
0,99,87.9,14.2,0.00351,10.349,3.333,Ram,6.17738,0.5071
0,110,97.1,17.5,0.00465,4.27,1.085,Ram,8.6885,0.20868
1,48,58.4,11.9,0.00764,4.477,1.944,Ram,5.73149,-0.82242
1,96,96.1,15.2,0.00735,28.383,7.56,Ram,3.15753,0.19118
0,83,86.7,15.8,0.0066,3.169,0.936,Ram,3.7,-1.57079
0,78,70,13.8,0.0049,2.492,0.963,Ram,5.2469,1.43699
0,84,110.5,13.2,0.00395,11.161,3.041,Ram,0.7,-1.57079
0,84,76.4,16,0.00705,1.666,0.496,Ram,5.60803,1.18698
0,78,85.5,20.1,0.00798,1.695,0.441,Ram,5.68507,0.88507
1,75,74.9,17.6,0.00819,1.171,0.372,Ram,6.95701,1.24905
1,80,64,15.7,0.00772,1.384,0.53,Ram,6.21289,0.99172
0,89,70,13.6,0.0114,1.345,0.466,Ram,4.83011,0.47291
0,95,86.5,16.5,0.00992,1.43,0.393,Ram,5.80086,0.94453
0,98,132.2,23.5,0.0136,2.425,0.404,Ram,3.18277,-0.76318
0,127,167.1,28.9,0.01261,2.404,0.308,Ram,3.89487,0.50959
0,134,147.6,30.6,0.01762,2.022,0.271,Ram,4.20119,-0.90349
1,77,86.6,24,0.01159,1.165,0.276,Ram,4.11096,-0.07304
1,53,84.3,17.6,0.01227,3.009,0.88,Ram,4.90918,-1.50965
0,91,75.2,16.1,0.01001,1.175,0.375,Ram,4.3382,-0.45334
